# Generated by scripts/corpus/relevel-a1.ts — every level change, with its authority.
# The input word list is not committed (see the header); this file is the record.
# term	from	to	reason
die Abfahrt	A2	A1	Goethe A1 Wortliste
abgeben	B1	A1	Goethe A1 Wortliste
der Absender	A2	A1	Goethe A1 Wortliste
allein	A2	A1	Goethe A1 Wortliste
also	A2	A1	Goethe A1 Wortliste
an	A2	A1	Goethe A1 Wortliste
anbieten	A2	A1	Goethe A1 Wortliste
das Angebot	A2	A1	Goethe A1 Wortliste
anklicken	A2	A1	Goethe A1 Wortliste
ankommen	A2	A1	Goethe A1 Wortliste
die Anrede	B1	A1	Goethe A1 Wortliste
der Anruf	A2	A1	Goethe A1 Wortliste
der Anschluss	B1	A1	Goethe A1 Wortliste
das Apartment	A2	A1	Goethe A1 Wortliste
arbeitslos	A2	A1	Goethe A1 Wortliste
der Arbeitsplatz	B1	A1	Goethe A1 Wortliste
auf	A2	A1	Goethe A1 Wortliste
aufhören	A2	A1	Goethe A1 Wortliste
der Aufzug	A2	A1	Goethe A1 Wortliste
aus	A2	A1	Goethe A1 Wortliste
der Ausflug	A2	A1	Goethe A1 Wortliste
ausfüllen	A2	A1	Goethe A1 Wortliste
der Ausgang	B2	A1	Goethe A1 Wortliste
die Auskunft	A2	A1	Goethe A1 Wortliste
ausmachen	A2	A1	Goethe A1 Wortliste
die Aussage	A2	A1	Goethe A1 Wortliste
aussteigen	A2	A1	Goethe A1 Wortliste
der Ausweis	A2	A1	Goethe A1 Wortliste
die Autobahn	B1	A1	Goethe A1 Wortliste
automatisch	A2	A1	Goethe A1 Wortliste
baden	A2	A1	Goethe A1 Wortliste
der Bahnsteig	A2	A1	Goethe A1 Wortliste
der Balkon	A2	A1	Goethe A1 Wortliste
bar	A2	A1	Goethe A1 Wortliste
der Beamte	A2	A1	Goethe A1 Wortliste
bekannt	A2	A1	Goethe A1 Wortliste
besetzt	A2	A1	Goethe A1 Wortliste
besichtigen	A2	A1	Goethe A1 Wortliste
das Bier	B1	A1	Goethe A1 Wortliste
das Bild	A2	A1	Goethe A1 Wortliste
bis	A2	A1	Goethe A1 Wortliste
bisschen	A2	A1	Goethe A1 Wortliste
die Briefmarke	A2	A1	Goethe A1 Wortliste
daneben	A2	A1	Goethe A1 Wortliste
danken	A2	A1	Goethe A1 Wortliste
der Doktor	A2	A1	Goethe A1 Wortliste
das Doppelzimmer	A2	A1	Goethe A1 Wortliste
draußen	A2	A1	Goethe A1 Wortliste
durch	A2	A1	Goethe A1 Wortliste
die Ecke	A2	A1	Goethe A1 Wortliste
eilig	B1	A1	Goethe A1 Wortliste
der Eingang	A2	A1	Goethe A1 Wortliste
die Einladung	A2	A1	Goethe A1 Wortliste
einmal	A2	A1	Goethe A1 Wortliste
einsteigen	A2	A1	Goethe A1 Wortliste
der Eintritt	A2	A1	Goethe A1 Wortliste
die E-Mail	A2	A1	Goethe A1 Wortliste
der Empfänger	B1	A1	Goethe A1 Wortliste
empfehlen	B1	A1	Goethe A1 Wortliste
das Ergebnis	B1	A1	Goethe A1 Wortliste
erklären	A2	A1	Goethe A1 Wortliste
falsch	A2	A1	Goethe A1 Wortliste
fehlen	A2	A1	Goethe A1 Wortliste
das Feuer	A2	A1	Goethe A1 Wortliste
das Fieber	A2	A1	Goethe A1 Wortliste
das Formular	A2	A1	Goethe A1 Wortliste
fremd	A2	A1	Goethe A1 Wortliste
die Führung	A2	A1	Goethe A1 Wortliste
der Geburtstag	A2	A1	Goethe A1 Wortliste
gefallen	A2	A1	Goethe A1 Wortliste
gehören	A2	A1	Goethe A1 Wortliste
das Gepäck	A2	A1	Goethe A1 Wortliste
das Geschenk	A2	A1	Goethe A1 Wortliste
das Gewicht	A2	A1	Goethe A1 Wortliste
gleich	A2	A1	Goethe A1 Wortliste
gratulieren	A2	A1	Goethe A1 Wortliste
grillen	A2	A1	Goethe A1 Wortliste
die Größe	A2	A1	Goethe A1 Wortliste
der Gruß	C1	A1	Goethe A1 Wortliste
gültig	B1	A1	Goethe A1 Wortliste
günstig	A2	A1	Goethe A1 Wortliste
das Hähnchen	B1	A1	Goethe A1 Wortliste
die Halbpension	A2	A1	Goethe A1 Wortliste
die Halle	B1	A1	Goethe A1 Wortliste
halten	A2	A1	Goethe A1 Wortliste
die Hilfe	B1	A1	Goethe A1 Wortliste
hinten	A2	A1	Goethe A1 Wortliste
die Hochzeit	A2	A1	Goethe A1 Wortliste
in	A2	A1	Goethe A1 Wortliste
kaputt	A2	A1	Goethe A1 Wortliste
die Karte	A2	A1	Goethe A1 Wortliste
die Kasse	A2	A1	Goethe A1 Wortliste
kennenlernen	A2	A1	Goethe A1 Wortliste
klar	A2	A1	Goethe A1 Wortliste
die Klasse	A2	A1	Goethe A1 Wortliste
das Konto	A2	A1	Goethe A1 Wortliste
kulturell	B1	A1	Goethe A1 Wortliste
sich kümmern	A2	A1	Goethe A1 Wortliste
lachen	A2	A1	Goethe A1 Wortliste
der Laden	A2	A1	Goethe A1 Wortliste
leben	A2	A1	Goethe A1 Wortliste
ledig	A2	A1	Goethe A1 Wortliste
legen	A2	A1	Goethe A1 Wortliste
das Lied	A2	A1	Goethe A1 Wortliste
lustig	A2	A1	Goethe A1 Wortliste
die Maschine	A2	A1	Goethe A1 Wortliste
mitbringen	A2	A1	Goethe A1 Wortliste
mitkommen	A2	A1	Goethe A1 Wortliste
die Mitte	A2	A1	Goethe A1 Wortliste
der Moment	A2	A1	Goethe A1 Wortliste
oben	A2	A1	Goethe A1 Wortliste
der Opa	B1	A1	Goethe A1 Wortliste
die Ordnung	A2	A1	Goethe A1 Wortliste
die Partnerin	B1	A1	Goethe A1 Wortliste
die Polizei	A2	A1	Goethe A1 Wortliste
das Praktikum	A2	A1	Goethe A1 Wortliste
die Rechnung	A2	A1	Goethe A1 Wortliste
der Reiseführer	B1	A1	Goethe A1 Wortliste
die Reparatur	A2	A1	Goethe A1 Wortliste
die Rezeption	B1	A1	Goethe A1 Wortliste
riechen	A2	A1	Goethe A1 Wortliste
der Salat	B1	A1	Goethe A1 Wortliste
der Schalter	B1	A1	Goethe A1 Wortliste
scheinen	A2	A1	Goethe A1 Wortliste
schicken	A2	A1	Goethe A1 Wortliste
selbstständig	B1	A1	Goethe A1 Wortliste
sofort	A2	A1	Goethe A1 Wortliste
die Stelle	A2	A1	Goethe A1 Wortliste
stellen	A2	A1	Goethe A1 Wortliste
das Studium	A2	A1	Goethe A1 Wortliste
das Taxi	A2	A1	Goethe A1 Wortliste
der Termin	A2	A1	Goethe A1 Wortliste
der Test	A2	A1	Goethe A1 Wortliste
tot	A2	A1	Goethe A1 Wortliste
die Treppe	A2	A1	Goethe A1 Wortliste
tun	A2	A1	Goethe A1 Wortliste
übernachten	A2	A1	Goethe A1 Wortliste
überweisen	A2	A1	Goethe A1 Wortliste
umziehen	A2	A1	Goethe A1 Wortliste
unten	A2	A1	Goethe A1 Wortliste
unterschreiben	A2	A1	Goethe A1 Wortliste
der Verein	B1	A1	Goethe A1 Wortliste
vermieten	B1	A1	Goethe A1 Wortliste
der Verwandte	A2	A1	Goethe A1 Wortliste
von	A2	A1	Goethe A1 Wortliste
die Vorsicht	A2	A1	Goethe A1 Wortliste
die Vorwahl	A2	A1	Goethe A1 Wortliste
weit	A2	A1	Goethe A1 Wortliste
wiederholen	A2	A1	Goethe A1 Wortliste
das Wiedersehen	A2	A1	Goethe A1 Wortliste
der Wind	A2	A1	Goethe A1 Wortliste
zurzeit	B1	A1	Goethe A1 Wortliste
die Zigarette	A2	A1	Goethe A1 Wortliste
der Zoll	B1	A1	Goethe A1 Wortliste
zu	A2	A1	Goethe A1 Wortliste
zusammen	A2	A1	Goethe A1 Wortliste
zwischen	A2	A1	Goethe A1 Wortliste
der Norden	A2	A1	Goethe A1 Wortliste
der Süden	A2	A1	Goethe A1 Wortliste
der Osten	A2	A1	Goethe A1 Wortliste
der Grad	A2	A1	Goethe A1 Wortliste
europäisch	B1	A1	Goethe A1 Wortliste
der Antwortbogen	—	held	appears only in exam rubrics, not in A1 communication
ankreuzen	—	held	exam-rubric verb; met in the instructions, not needed productively
zuordnen	—	held	exam-rubric verb
ergänzen	—	held	exam-rubric verb
