# Generated by scripts/corpus/merge-dupes.ts — every group merged, and what the keeper gained.
# Only groups whose copies agreed on gender, part of speech and gloss are here.
# Cumulative across every pass: a merged duplicate cannot be re-derived, so rows are never dropped.
# kept	kept level/sector	retired	absorbed	note
Rad fahren	A1/Sport & Exercise	A2/Everyday life basics	syn+ex+en	sector differs — resector?
abholen	A1/Core verbs	A2/Core verbs	ex	re-sectored from Miscellaneous
absagen	A1/University & Appointments	A2/Communication	ex	sector differs — resector?
absolvieren	B1/University & study	B2/Studies & Training	ex	sector differs — resector?
anbieten	A1/Core verbs	B1/Services & Complaints	ex	sector differs — resector?
anfangen	A1/Core verbs	A2/Core verbs	ex	re-sectored from Miscellaneous
anmelden	A2/Administration	B1/Intermediate travel and daily life	defDe+ex+en	sector differs — resector?
anrufen	A1/Core verbs	A2/Everyday life basics	ex	sector differs — resector?
aufführen	B1/Arts and culture	B2/Music & Theatre	ex	sector differs — resector?
aufgeben	A2/Intermediate everyday verbs	B1/Intermediate everyday verbs	ex	re-sectored from Miscellaneous
aufmerksam	A2/Intermediate descriptive adjectives	B1/Intermediate descriptive adjectives	ex	re-sectored from Miscellaneous
aufräumen	A1/Home	A2/Home	ex	
auftreten	A2/Hobbies and leisure	B1/Hobbies and leisure	ex	re-sectored from Miscellaneous
augenscheinlich	B1/Miscellaneous	C1/Core Vocabulary	ex+en	sector differs — resector?
ausfüllen	A1/Administration	B1/Intermediate travel and daily life	ex	sector differs — resector?
ausgrenzen	B2/Migration & Integration	C1/Language & Power	ex	sector differs — resector?
ausziehen	A1/Housing & Room Search	A2/Clothing, B1/Home	ant+ex+en	sector differs — resector?
außerdem	A2/Miscellaneous	B1/Core Vocabulary	ex	sector differs — resector?
beeinflussen	B1/Core verbs	B2/Core Vocabulary, C1/Language & Power	ex+syn	sector differs — resector?
befördern	B1/Work & career	B2/Business & Workplace	ex	sector differs — resector?
behandeln	A2/Treatment	B2/Body & Illness	ex	sector differs — resector?
bei	A1/Spatial relations	A2/Spatial relations	ipa+ex	re-sectored from Core Vocabulary
beurteilen	B1/Miscellaneous	B2/Core Vocabulary	syn+ex	sector differs — resector?
bewerten	B1/Politics & History	B2/Core Vocabulary	syn+ex	sector differs — resector?
bewältigen	B2/Working Life	C1/Core Vocabulary	syn+ex	sector differs — resector?
billig	A1/Adjectives	A2/Everyday life basics	syn+ex	sector differs — resector?
braten	A2/Food & drink	B1/Food and beverages	ex	sector differs — resector?
bunt	A1/Adjectives	A2/Colors	ant+ex	sector differs — resector?
