term	id	level	kind	detail
der Kulturschock	voc:B2:der Kulturschock	B2	plural	card "Kulturschocks" · wiktionary "Kulturschocke"
die Babyboomer	voc:C1:die Babyboomer	C1	gender	wiktionary: der
die Babyboomer	voc:C1:die Babyboomer	C1	plural	card "(Pl.)" · wiktionary "Babyboomer"
das Schlagwort	voc:C2:das Schlagwort	C2	plural	card "-wörter" · wiktionary "Schlagworte"
der Fachkräftemangel	voc:B2:der Fachkräftemangel	B2	plural	card "Fachkräftemangel" · wiktionary "Fachkräftemängel"
der Burnout	voc:B2:der Burnout	B2	gender	wiktionary: das
die Visum	voc:B2:die Visum	B2	gender	wiktionary: das
das Szenario	voc:C1:das Szenario	C1	plural	card "-s" · wiktionary "Szenarien"
das Zukunftsszenario	voc:C1:das Zukunftsszenario	C1	plural	card "-s" · wiktionary "Zukunftsszenarien"
die Vorstand	voc:B2:die Vorstand	B2	gender	wiktionary: der
der Rettungswagen	voc:B2:der Rettungswagen	B2	plural	card "Rettungswägen" · wiktionary "Rettungswagen"
